accident_id,num_vehicles,num_casualties,accident_severity,accident_damages,police_department,police_attended,urban_vs_rural,road_type,road_conditions,weather_conditions,light_conditions,date,year,weekday,hour,longitude,latitude
2010520005920,1,1,Slight,212,Avon and Somerset,No,Rural,Dual carriageway,Dry,Fine,Daylight,10/07/2010,2010,6-Saturday,12,-3.052349,50.89592
200506L025654,1,1,Serious,8695,Greater Manchester,Yes,Urban,Single carriageway,Dry,Fine,Daylight,29/04/2005,2005,5-Friday,18,-2.640234,53.490664
200504B009805,2,1,Slight,568.5,Lancashire,Yes,Rural,Roundabout,Dry,Fine,Daylight,18/02/2005,2005,5-Friday,13,-2.777384,54.048572
2011551C28964,1,2,Slight,936,Dorset,Yes,Urban,Single carriageway,Dry,Fine,Daylight,29/06/2011,2011,3-Wednesday,13,-1.974752,50.721436
200814C171508,2,1,Slight,1080,South Yorkshire,Yes,Urban,Single carriageway,Wet,Fine,Darkness,15/12/2008,2008,1-Monday,16,-1.320459,53.418446
2010471006760,2,1,Slight,444,Sussex,Yes,Rural,Single carriageway,Dry,Fine,Daylight,09/10/2010,2010,6-Saturday,14,-0.200225,50.894613
201197AB04310,2,3+,Slight,1029,Strathclyde,Yes,Urban,Single carriageway,Wet,Raining,Daylight,29/10/2011,2011,6-Saturday,13,-4.248019,55.857397
200743W243047,2,1,Slight,846,Thames Valley,No,Urban,Single carriageway,Dry,Fine,Daylight,23/04/2007,2007,1-Monday,16,-0.861552,51.384309
2013160C00431,1,1,Slight,626,Humberside,Yes,Rural,Single carriageway,Wet,Raining,Darkness,31/01/2013,2013,4-Thursday,17,-0.802779,54.000004
2012120073389,2,2,Serious,19048,North Yorkshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,08/05/2012,2012,2-Tuesday,10,-1.702204,54.024219
200997BD00308,1,1,Serious,6333,Strathclyde,Yes,Urban,Single carriageway,Wet,Raining,Daylight,03/08/2009,2009,1-Monday,12,-4.152013,55.860821
201150AC2C017,2,2,Slight,1178,Devon and Cornwall,Yes,Urban,Single carriageway,Dry,Fine,Daylight,16/06/2011,2011,4-Thursday,18,-5.279373,50.224498
2011331100457,2,1,Slight,525,Leicestershire,Yes,Urban,Single carriageway,Dry,Fine,Daylight,26/01/2011,2011,3-Wednesday,8,-1.071749,52.632876
201597AB01711,2,1,Serious,4519.5,Strathclyde,Yes,Urban,Single carriageway,Wet,Raining,Darkness,12/11/2015,2015,4-Thursday,23,-4.255337,55.869863
2012070200927,2,1,Slight,645,Cheshire,Yes,Rural,Single carriageway,Wet,Raining,Daylight,19/07/2012,2012,4-Thursday,9,-2.718976,53.298122
2005470504604,1,1,Slight,149,Sussex,No,Urban,Single carriageway,Dry,Fine,Daylight,07/06/2005,2005,2-Tuesday,15,0.039562,50.794345
201201TA00147,2,1,Slight,1483.5,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Darkness,25/02/2012,2012,6-Saturday,18,-0.180455,51.50134
200843N106078,2,1,Slight,1441.5,Thames Valley,Yes,Rural,Single carriageway,Dry,Fine,Daylight,04/07/2008,2008,5-Friday,8,-0.512721,51.549637
2013460224041,1,1,Slight,792,Kent,Yes,Rural,Single carriageway,Ice,Fine,Darkness,08/02/2013,2013,5-Friday,4,1.062647,51.076353
201442I258807,2,1,Slight,1255.5,Essex,No,Urban,Roundabout,Dry,Fine,Daylight,29/07/2014,2014,2-Tuesday,7,0.119345,51.786072
201504ED15567,2,1,Slight,517.5,Lancashire,Yes,Urban,Single carriageway,Wet,Raining,Daylight,27/11/2015,2015,5-Friday,14,-2.49705,53.749497
200501QK50094,3+,1,Slight,898,Metropolitan Police,Yes,Urban,Single carriageway,Ice,Snowing,Darkness,03/03/2005,2005,4-Thursday,21,-0.198826,51.532378
200543P320015,1,1,Serious,2339,Thames Valley,Yes,Rural,Single carriageway,Dry,Fine,Daylight,29/01/2005,2005,6-Saturday,16,-1.489008,51.843518
2006440519088,3+,1,Serious,2382,Hampshire,Yes,Urban,Dual carriageway,Wet,Raining,Daylight,18/12/2006,2006,1-Monday,7,-1.293341,50.70284
200743N147097,2,1,Slight,1083,Thames Valley,No,Rural,Dual carriageway,Dry,Fog,Darkness,13/09/2007,2007,4-Thursday,5,-0.754845,51.614411
200801MM71097,2,1,Slight,1209,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Darkness,29/10/2008,2008,3-Wednesday,18,-0.084199,51.504932
2006440306827,2,1,Slight,1261.5,Hampshire,No,Urban,Single carriageway,Dry,Fine,Daylight,07/08/2006,2006,1-Monday,16,-1.292378,50.700946
201301HT20862,2,1,Slight,675,Metropolitan Police,Yes,Urban,Single carriageway,Wet,Raining,Darkness,03/11/2013,2013,7-Sunday,22,-0.055353,51.525861
201220S026762,2,1,Slight,1083,West Midlands,Yes,Urban,Roundabout,Dry,Fine,Daylight,28/05/2012,2012,1-Monday,7,-1.958634,52.435127
2011460202424,2,3+,Slight,825,Kent,Yes,Urban,Dual carriageway,Dry,Fine,Daylight,07/07/2011,2011,4-Thursday,13,1.329651,51.127785
201543P022055,3+,3+,Serious,30972,Thames Valley,Yes,Rural,Dual carriageway,Dry,Fine,Daylight,01/05/2015,2015,5-Friday,16,-1.099725,51.774063
20103102D3180,2,1,Slight,838.5,Nottinghamshire,Yes,Rural,Single carriageway,Wet,Fog,Daylight,15/12/2010,2010,3-Wednesday,9,-1.064082,52.81882
200601ZD30815,2,1,Slight,1414.5,Metropolitan Police,No,Urban,Single carriageway,Wet,Raining,Daylight,03/10/2006,2006,2-Tuesday,17,-0.121752,51.411655
200743N131107,2,2,Serious,6596,Thames Valley,Yes,Urban,Single carriageway,Dry,Fine,Daylight,14/10/2007,2007,7-Sunday,10,-0.592411,51.673272
200645WA91604,2,1,Slight,871.5,Surrey,Yes,Urban,Roundabout,Dry,Fine,Daylight,20/09/2006,2006,3-Wednesday,17,-0.780141,51.219289
201005CC03114,2,2,Slight,1754,Merseyside,Yes,Rural,Dual carriageway,Dry,Fine,Daylight,08/05/2010,2010,6-Saturday,20,-2.858707,53.442012
